BAIRRO,População segundo o Censo de 2010,Densidade Populacional Bruta hab/ha,Latitude,Longitude,área,Área verde,% Branca,% Preta,% Amarela,% Parda,% Indígena,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 49 anos,50 a 64 anos,acima de 65 anos,"População acima de 15 anos não alfabetizada (%)",Total de domicílios,Total de domicílios próprios,Total de domicílios alugados,Total de domicílios cedidos,Rendimento médio,Prefeitura bairro,Acumulado de chuva 2023 (mm),Acumulado de chuva 2022 (mm),Acumulado de chuva 2021 (mm),Acumulado de chuva 2020 (mm),Acumulado de chuva 2019 (mm),Rendimento médio atualizado
Águas Claras,37029,104.35,-12.887778,-38.434167,3548530.06,773437.95,12.1,29.84,1.93,55.06,0.35,7.68,8.39,9.52,9.35,52.16,9.87,3.02,5.25,11507,79.94,16.01,3.87,929.9,3,478.2,805.1,0.0,0.0,487.6,1762.72922684
São Gonçalo,17275,229.08,-12.9519704,-38.4684976,754103.6,51203.08,13.42,34.22,1.31,50.65,0.4,6.72,7.35,8.41,8.44,52.32,11.86,4.9,5.32,5327,78.47,18.68,2.53,998.4,8,0.0,0.0,0.0,0.0,0.0,1892.57862144
Engomadeira,12550,354.52,-12.9500513,-38.4598089,354002.52,6700.24,10.59,33.79,1.57,53.85,0.2,6.86,6.92,8.1,8.14,52.16,12.33,5.49,5.59,4054,78.02,18.9,2.91,940.9,8,0.0,0.0,0.0,0.0,0.0,1783.58095444
Paripe,55039,113.75,-12.8380062,-38.4692031,4856116.05,802668.82,13.1,28.43,2.03,56.06,0.23,9.24,9.14,7.93,7.5,49.82,11.47,4.89,5.61,16799,81.84,13.65,3.3,1013.9,2,0.0,0.0,0.0,0.0,0.0,1921.96060124
Chapada do Rio Vermelho,21955,358.98,-13.0053325,-38.4802303,611588.98,6761.06,8.55,39.59,1.59,50.02,0.25,6.91,7.46,8.75,8.39,52.79,10.15,5.57,5.63,6831,78.65,18.48,2.81,925.6,6,854.4,854.8,0.0,0.0,0.0,1754.57809696
Beiru/Tancredo Neves,50416,314.69,-12.9581223,-38.4941411,1602074.23,71752.08,11.66,33.97,1.54,52.36,0.2,6.51,7.14,8.32,8.38,52.57,12.79,4.02,5.7,16418,78.05,18.51,3.1,1039.4,8,0.0,0.0,0.0,0.0,0.0,1970.2986970400002
Granjas Rurais Presidente Vargas,1998,12.93,,,1545532.67,203288.46,12.46,24.17,0.45,62.71,0.2,8.26,8.81,9.86,9.56,50.55,10.56,2.4,5.82,619,80.26,17.48,2.1,1210.8,8,0.0,0.0,0.0,0.0,0.0,2295.20652528
Alto do Cabrito,17051,153.21,-12.910833,-38.475278,1112950.95,145479.88,11.06,31.32,1.62,55.94,0.06,7.08,7.67,9.35,9.57,51.56,11.21,3.57,5.87,5251,83.66,13.27,2.55,842.5,7,1030.6,982.2,0.0,0.0,0.0,1597.0527730000001
Alto da Terezinha,14010,148.57,-12.883611,-38.475556,943053.59,118756.3,9.23,33.75,1.93,55.03,0.06,9.13,9.15,8.51,7.41,50.0,11.38,4.42,5.95,4274,87.07,10.43,2.37,831.7,2,0.0,0.0,0.0,0.0,0.0,1576.5801677200002
Boa Vista de São Caetano,17688,300.0,-12.9259002,-38.4765003,589591.14,50161.7,10.03,37.36,1.83,50.62,0.16,6.81,7.4,8.88,8.8,52.66,10.69,4.77,5.99,5606,81.18,15.55,3.07,776.7,7,0.0,0.0,0.0,0.0,0.0,1472.3215297200002
