WKT,nome,descrição
"POINT (-38.4594595 -12.952777)",Universidade do Estado da Bahia,
"POINT (-38.4462826 -12.9813438)",Estácio - Campus Gilberto Gil,
"POINT (-38.39207629999999 -12.934439)",UNIFTC - SALVADOR,
"POINT (-38.4995256 -12.9518961)",Faculdade São Salvador,
"POINT (-38.4219937 -12.9695405)",UNICEUSA - Centro Universitário de Salvador,
"POINT (-38.3945855 -12.9366876)",Faculdade Unime Anhanguera de Salvador,
"POINT (-38.4107435 -12.9376671)",Centro Universitário Jorge Amado Campus Paralela,
"POINT (-38.4730803 -12.990897)",Universo Universidade Salgado de Oliveira - Salvador,
"POINT (-38.4710535 -12.9799349)",Faculdade Anhanguera - Iguatemi,
"POINT (-38.4462826 -12.9813438)",Estácio - Campus Gilberto Gil,
"POINT (-38.4521471 -12.9951914)",UNINASSAU - Salvador,
"POINT (-38.4313397 -12.9611363)",Centro Universitário UniRuy - Wyden,
"POINT (-38.4219937 -12.9695405)",UNICEUSA - Centro Universitário de Salvador,
"POINT (-38.4313397 -12.9611363)",Centro Universitário UniRuy - Wyden,
"POINT (-38.4015758 -12.9594914)",Centro Universitário UNIRB,
"POINT (-38.5124825 -12.9716687)",Centro Universitário Dom Pedro II - Campus I,
"POINT (-38.5124237 -12.9702261)",Centro Universitário UnidomPedro - Campus II,
"POINT (-38.5184887 -12.9855041)",UNINASSAU - Centro Universitário Maurício de Nassau,
"POINT (-38.4463976 -12.9814679)",Centro Universitário Estácio da Bahia - Estácio Bahia,
"POINT (-38.38713800000001 -12.938416)",SENAI CIMATEC,
"POINT (-38.4873747 -13.0127216)",Colégio Estadual Euricles de Matos,
"POINT (-38.4874607 -13.0108916)",Escola Sempre Viva,
"POINT (-38.4936788 -13.0105571)",Escola Medalha Milagrosa,
"POINT (-38.5000463 -13.0107373)",Escola Municipal Ana Nery,
"POINT (-38.4858155 -13.0082638)",Escola Caramelo,
"POINT (-38.4806132 -13.009408)",Escola Geração Eleita,
"POINT (-38.4841857 -13.0112953)",Escola Vanguarda Educação Infantil,
"POINT (-38.4874488 -13.0130888)",Escola Municipal Osvaldo Cruz,
