WKT,nome,descrição,Tipo,cor,longitude,latitude
POINT (-38.4766891 -13.0039643),Igreja Universal,,Centro religioso,#28B1C3,-38.4766891,-13.0039643
POINT (-38.4442411 -12.9336591),Igreja Universal,,Centro religioso,#28B1C3,-38.4442411,-12.9336591
POINT (-38.3625121 -12.938472),Igreja Universal,,Centro religioso,#28B1C3,-38.3625121,-12.938472
POINT (-38.5151679 -12.9783526),Igreja Universal,,Centro religioso,#28B1C3,-38.5151679,-12.9783526
POINT (-38.4904406 -12.9464549),Igreja Universal - Liberdade,,Centro religioso,#28B1C3,-38.4904406,-12.9464549
POINT (-38.4452679 -12.9466457),Igreja Universal,,Centro religioso,#28B1C3,-38.4452679,-12.9466457
POINT (-38.4707537 -12.9765347),Igreja Universal,,Centro religioso,#28B1C3,-38.4707537,-12.9765347
POINT (-38.4795854 -12.942445),Igreja Universal,,Centro religioso,#28B1C3,-38.4795854,-12.942445
POINT (-38.510355 -12.9727852),Catedral-Basílica Primacial de São Salvador,,Centro religioso,#28B1C3,-38.510355,-12.9727852
POINT (-38.5019915 -12.9689958),Catedral da Bênção,,Centro religioso,#28B1C3,-38.5019915,-12.9689958
POINT (-38.4672617 -12.9807913),Igreja Universal | Catedral,,Centro religioso,#28B1C3,-38.4672617,-12.9807913
POINT (-38.3391733 -12.9434644),Cathedrall,,Centro religioso,#28B1C3,-38.3391733,-12.9434644
POINT (-38.3474013 -12.9319875),Catedral dos Milagres Church,,Centro religioso,#28B1C3,-38.3474013,-12.9319875
POINT (-38.51156439999999 -12.9809014),Padaria Piedade,,Padaria,#107F75,-38.51156439999999,-12.9809014
POINT (-38.501116 -13.0069895),Padaria Sabor Real,,Padaria,#107F75,-38.501116,-13.0069895
POINT (-38.50736360000001 -12.9792536),Padaria Sr. Afonso,,Padaria,#107F75,-38.50736360000001,-12.9792536
POINT (-38.5199188 -12.9876554),Padaria Favorita,,Padaria,#107F75,-38.5199188,-12.9876554
POINT (-38.5138807 -13.0015868),Padaria Mega Pão,,Padaria,#107F75,-38.5138807,-13.0015868
POINT (-38.4627268 -13.0018586),Paneville Padaria Gourmet - Pituba Salvador,,Padaria,#107F75,-38.4627268,-13.0018586
POINT (-38.5111029 -12.9763384),Padaria e mercado Paris,,Padaria,#107F75,-38.5111029,-12.9763384
POINT (-38.3204825 -12.8789553),Padaria Novo Pão,,Padaria,#107F75,-38.3204825,-12.8789553
POINT (-38.498176 -12.945856),Padaria Bom Gosto,,Padaria,#107F75,-38.498176,-12.945856
POINT (-38.4857253 -13.0126144),Padaria Yemanjá,,Padaria,#107F75,-38.4857253,-13.0126144
POINT (-38.5094604 -13.0075229),Ondina Delicatessen,,Padaria,#107F75,-38.5094604,-13.0075229
POINT (-38.5193431 -12.9978816),Deli & Cia,,Padaria,#107F75,-38.5193431,-12.9978816
POINT (-38.5172496 -13.0009639),Delicatessen Doce Pão,,Padaria,#107F75,-38.5172496,-13.0009639
POINT (-38.461197 -12.9856658),Sampaio Delicatéssen,,Padaria,#107F75,-38.461197,-12.9856658
POINT (-38.4337696 -12.964709),Clássica Delicatessen,,Padaria,#107F75,-38.4337696,-12.964709
POINT (-38.4817686 -12.9885595),Deli e Pão,,Padaria,#107F75,-38.4817686,-12.9885595
POINT (-38.4449799 -12.9857853),D’alinda Delicatessen,,Padaria,#107F75,-38.4449799,-12.9857853
POINT (-38.3226005 -12.8953135),Delipani Delicatessen,,Padaria,#107F75,-38.3226005,-12.8953135
POINT (-38.5302936 -13.0035447),Delicatessen Sabor do Porto,,Padaria,#107F75,-38.5302936,-13.0035447
POINT (-38.3714246 -12.9492432),Pão da Vila Padocatessen,,Padaria,#107F75,-38.3714246,-12.9492432
POINT (-38.51985089999999 -12.9861788),CNI - Curso de Informática Necrópsia e Profissionalizantes,,Centro de formação e educação,#EC2505,-38.51985089999999,-12.9861788
POINT (-38.4820223 -12.988799),Centro de Treinamento Formar,,Centro de formação e educação,#EC2505,-38.4820223,-12.988799
POINT (-38.35112589999999 -12.9138318),Auto Escola Veja,,Centro de formação e educação,#EC2505,-38.35112589999999,-12.9138318
POINT (-38.4877694 -12.8991726),C.T.I - CENTRO DE TREINAMENTO INTEGRADO,,Centro de formação e educação,#EC2505,-38.4877694,-12.8991726
POINT (-38.45544699999999 -13.005361),Evolução Centro de Capacitação,,Centro de formação e educação,#EC2505,-38.45544699999999,-13.005361
POINT (-38.3084617 -12.8913273),Escola Vila Alegria,,Centro de formação e educação,#EC2505,-38.3084617,-12.8913273
POINT (-38.3511052 -12.9109003),Escola Municipal Brigadeiro Eduardo Gomes.,,Centro de formação e educação,#EC2505,-38.3511052,-12.9109003
POINT (-38.4550005 -12.9718187),Escola Educandário Sousa Brito I Pré -escolar I Escola particular I Ensino Fundamental I Pernambués Salvador Ba,,Centro de formação e educação,#EC2505,-38.4550005,-12.9718187
POINT (-38.4575077 -12.9916642),Escola Lua Nova,,Centro de formação e educação,#EC2505,-38.4575077,-12.9916642
